	year_month	rideable_type	rides	year	month	week	season	rides_2months_ago	rides_lastmonth
0	2020-06	1	343005	2020	6	26	1	84776.0	200274.0
1	2020-07	1	549545	2020	7	30	2	200274.0	343005.0
2	2020-08	1	556166	2020	8	35	2	343005.0	549545.0
3	2020-09	1	404606	2020	9	39	2	549545.0	556166.0
4	2020-09	2	128352	2020	9	39	2	1935.0	66195.0
5	2020-10	1	236477	2020	10	43	3	556166.0	404606.0
6	2020-10	2	152176	2020	10	43	3	66195.0	128352.0
7	2020-11	1	151582	2020	11	48	3	404606.0	236477.0
8	2020-11	2	108134	2020	11	48	3	128352.0	152176.0
9	2020-12	1	83620	2020	12	52	3	236477.0	151582.0
10	2020-12	2	47953	2020	12	52	3	152176.0	108134.0
11	2021-01	2	33028	2021	1	04	0	108134.0	47953.0
12	2021-01	1	63806	2021	1	04	0	151582.0	83620.0
13	2021-02	2	13339	2021	2	08	0	47953.0	33028.0
14	2021-02	1	36283	2021	2	08	0	83620.0	63806.0
15	2021-03	2	60294	2021	3	13	0	33028.0	13339.0
16	2021-03	1	168202	2021	3	13	0	63806.0	36283.0
17	2021-04	1	239333	2021	4	17	1	36283.0	168202.0
18	2021-04	2	97897	2021	4	17	1	13339.0	60294.0
19	2021-05	1	352446	2021	5	22	1	168202.0	239333.0
20	2021-05	2	179187	2021	5	22	1	60294.0	97897.0
21	2021-06	2	242859	2021	6	26	1	97897.0	179187.0
22	2021-06	1	486736	2021	6	26	1	239333.0	352446.0
23	2021-07	2	257803	2021	7	30	2	179187.0	242859.0
24	2021-07	1	564607	2021	7	30	2	352446.0	486736.0
25	2021-08	2	256254	2021	8	35	2	242859.0	257803.0
26	2021-08	1	548098	2021	8	35	2	486736.0	564607.0
27	2021-09	1	497621	2021	9	39	2	564607.0	548098.0
28	2021-09	2	258526	2021	9	39	2	257803.0	256254.0
29	2021-10	2	292203	2021	10	43	3	256254.0	258526.0
30	2021-10	1	339023	2021	10	43	3	548098.0	497621.0
31	2021-11	1	161653	2021	11	48	3	497621.0	339023.0
32	2021-11	2	198325	2021	11	48	3	258526.0	292203.0
33	2021-12	1	105563	2021	12	52	3	339023.0	161653.0
34	2021-12	2	141977	2021	12	52	3	292203.0	198325.0
35	2022-01	1	56028	2022	1	05	0	161653.0	105563.0
36	2022-01	2	47742	2022	1	05	0	198325.0	141977.0
37	2022-02	1	60775	2022	2	09	0	105563.0	56028.0
38	2022-02	2	54834	2022	2	09	0	141977.0	47742.0
39	2022-03	1	142797	2022	3	13	0	56028.0	60775.0
40	2022-03	2	141245	2022	3	13	0	47742.0	54834.0
41	2022-04	1	178828	2022	4	17	1	60775.0	142797.0
42	2022-04	2	192421	2022	4	17	1	54834.0	141245.0
43	2022-05	2	284403	2022	5	22	1	141245.0	192421.0
44	2022-05	1	350455	2022	5	22	1	142797.0	178828.0
45	2022-06	2	331904	2022	6	26	1	192421.0	284403.0
46	2022-06	1	437300	2022	6	26	1	178828.0	350455.0
47	2022-07	2	419260	2022	7	30	2	284403.0	331904.0
48	2022-07	1	404228	2022	7	30	2	350455.0	437300.0
49	2022-08	2	415559	2022	8	35	2	331904.0	419260.0
50	2022-08	1	370373	2022	8	35	2	437300.0	404228.0
51	2022-09	2	375371	2022	9	39	2	419260.0	415559.0
52	2022-09	1	325968	2022	9	39	2	404228.0	370373.0
53	2022-10	2	332511	2022	10	44	3	415559.0	375371.0
54	2022-10	1	226174	2022	10	44	3	370373.0	325968.0
55	2022-11	2	187248	2022	11	48	3	375371.0	332511.0
56	2022-11	1	150487	2022	11	48	3	325968.0	226174.0
57	2022-12	1	75275	2022	12	52	3	226174.0	150487.0
58	2022-12	2	106531	2022	12	52	3	332511.0	187248.0
59	2023-01	2	98269	2023	1	05	0	187248.0	106531.0
60	2023-01	1	92032	2023	1	05	0	150487.0	75275.0
61	2023-02	1	92083	2023	2	09	0	75275.0	92032.0
62	2023-02	2	98362	2023	2	09	0	106531.0	98269.0
63	2023-03	1	110103	2023	3	13	0	92032.0	92083.0
64	2023-03	2	148575	2023	3	13	0	98269.0	98362.0
65	2023-04	1	178625	2023	4	17	1	92083.0	110103.0
66	2023-04	2	247965	2023	4	17	1	98362.0	148575.0
67	2023-05	2	321840	2023	5	22	1	148575.0	247965.0
68	2023-05	1	282987	2023	5	22	1	110103.0	178625.0
69	2023-06	2	391098	2023	6	26	1	247965.0	321840.0
70	2023-06	1	328520	2023	6	26	1	178625.0	282987.0
71	2023-07	1	380554	2023	7	31	2	282987.0	328520.0
72	2023-07	2	387096	2023	7	31	2	321840.0	391098.0
73	2023-08	2	358775	2023	8	35	2	391098.0	387096.0
74	2023-08	1	412918	2023	8	35	2	328520.0	380554.0
75	2023-09	2	318999	2023	9	39	2	387096.0	358775.0
76	2023-09	1	347372	2023	9	39	2	380554.0	412918.0
77	2023-10	1	268363	2023	10	44	3	412918.0	347372.0
78	2023-10	2	268750	2023	10	44	3	358775.0	318999.0
79	2023-11	2	186361	2023	11	48	3	318999.0	268750.0
80	2023-11	1	176157	2023	11	48	3	347372.0	268363.0
81	2023-12	2	119489	2023	12	52	3	268750.0	186361.0
82	2023-12	1	104584	2023	12	52	3	268363.0	176157.0
83	2024-01	2	68348	2024	1	05	0	186361.0	119489.0
84	2024-01	1	76525	2024	1	05	0	176157.0	104584.0
85	2024-02	1	140314	2024	2	09	0	104584.0	76525.0
86	2024-02	2	82850	2024	2	09	0	119489.0	68348.0
87	2024-03	2	153103	2024	3	13	0	68348.0	82850.0
88	2024-03	1	148584	2024	3	13	0	76525.0	140314.0
89	2024-04	2	226622	2024	4	18	1	82850.0	153103.0
90	2024-04	1	188403	2024	4	18	1	140314.0	148584.0
91	2024-05	2	302789	2024	5	22	1	153103.0	226622.0
92	2024-05	1	306915	2024	5	22	1	148584.0	188403.0
93	2024-06	2	372998	2024	6	26	1	226622.0	302789.0
94	2024-06	1	337749	2024	6	26	1	188403.0	306915.0
95	2024-07	2	378443	2024	7	31	2	302789.0	372998.0
96	2024-07	1	370561	2024	7	31	2	306915.0	337749.0
97	2024-08	2	402725	2024	8	35	2	372998.0	378443.0
98	2024-08	1	352997	2024	8	35	2	337749.0	370561.0
99	2024-09	2	362273	2024	9	40	2	378443.0	402725.0
100	2024-09	1	314339	2024	9	40	2	370561.0	352997.0
101	2024-10	1	280622	2024	10	44	3	352997.0	314339.0
102	2024-10	2	335670	2024	10	44	3	402725.0	362273.0
103	2024-11	1	148099	2024	11	48	3	314339.0	280622.0
104	2024-11	2	186930	2024	11	48	3	362273.0	335670.0
