	week	rides
0	2020-03-30	13609
1	2020-04-06	22798
2	2020-04-13	18829
3	2020-04-20	20341
4	2020-04-27	35175
5	2020-05-04	26491
6	2020-05-11	33111
7	2020-05-18	49876
8	2020-05-25	64820
9	2020-06-01	51309
10	2020-06-08	76796
11	2020-06-15	94187
12	2020-06-22	96729
13	2020-06-29	115136
14	2020-07-06	122626
15	2020-07-13	118060
16	2020-07-20	131381
17	2020-07-27	126884
18	2020-08-03	142971
19	2020-08-10	133033
20	2020-08-17	148028
21	2020-08-24	142324
22	2020-08-31	134893
23	2020-09-07	103606
24	2020-09-14	131227
25	2020-09-21	141092
26	2020-09-28	93106
27	2020-10-05	128619
28	2020-10-12	84912
29	2020-10-19	68392
30	2020-10-26	59119
31	2020-11-02	102921
32	2020-11-09	59699
33	2020-11-16	53111
34	2020-11-23	34072
35	2020-11-30	35788
36	2020-12-07	34829
37	2020-12-14	31494
38	2020-12-21	22510
39	2020-12-28	16618
40	2021-01-04	26949
41	2021-01-11	25631
42	2021-01-18	23384
43	2021-01-25	15144
44	2021-02-01	11299
45	2021-02-08	7897
46	2021-02-15	5102
47	2021-02-22	25324
48	2021-03-01	36091
49	2021-03-08	59618
50	2021-03-15	49809
51	2021-03-22	57508
52	2021-03-29	77244
53	2021-04-05	78717
54	2021-04-12	76947
55	2021-04-19	68102
56	2021-04-26	110890
57	2021-05-03	77379
58	2021-05-10	110049
59	2021-05-17	146041
60	2021-05-24	127301
61	2021-05-31	176667
62	2021-06-07	190189
63	2021-06-14	185115
64	2021-06-21	146356
65	2021-06-28	170747
66	2021-07-05	164719
67	2021-07-12	182605
68	2021-07-19	190473
69	2021-07-26	196855
70	2021-08-02	189410
71	2021-08-09	180342
72	2021-08-16	188742
73	2021-08-23	169967
74	2021-08-30	180564
75	2021-09-06	184814
76	2021-09-13	186043
77	2021-09-20	158392
78	2021-09-27	163677
79	2021-10-04	166451
80	2021-10-11	151007
81	2021-10-18	137179
82	2021-10-25	105079
83	2021-11-01	113888
84	2021-11-08	92882
85	2021-11-15	82763
86	2021-11-22	48838
87	2021-11-29	80305
88	2021-12-06	61265
89	2021-12-13	64225
90	2021-12-20	37591
91	2021-12-27	30386
92	2022-01-03	20228
93	2022-01-10	29408
94	2022-01-17	28162
95	2022-01-24	16818
96	2022-01-31	19303
97	2022-02-07	31011
98	2022-02-14	29311
99	2022-02-21	32576
100	2022-02-28	66541
101	2022-03-07	48285
102	2022-03-14	86228
103	2022-03-21	61971
104	2022-03-28	54531
105	2022-04-04	78213
106	2022-04-11	82881
107	2022-04-18	108174
108	2022-04-25	88800
109	2022-05-02	91231
110	2022-05-09	177313
111	2022-05-16	142108
112	2022-05-23	158353
113	2022-05-30	183695
114	2022-06-06	156742
115	2022-06-13	187606
116	2022-06-20	190025
117	2022-06-27	189924
118	2022-07-04	180531
119	2022-07-11	172321
120	2022-07-18	189622
121	2022-07-25	195683
122	2022-08-01	174076
123	2022-08-08	175006
124	2022-08-15	184797
125	2022-08-22	182090
126	2022-08-29	172229
127	2022-09-05	166671
128	2022-09-12	176309
129	2022-09-19	153736
130	2022-09-26	146417
131	2022-10-03	140390
132	2022-10-10	116518
133	2022-10-17	127921
134	2022-10-24	115266
135	2022-10-31	120447
136	2022-11-07	97711
137	2022-11-14	48671
138	2022-11-21	55879
139	2022-11-28	62152
140	2022-12-05	60168
141	2022-12-12	41499
142	2022-12-19	22072
143	2022-12-26	30607
144	2023-01-02	41776
145	2023-01-09	56065
146	2023-01-16	46210
147	2023-01-23	33382
148	2023-01-30	33083
149	2023-02-06	51740
150	2023-02-13	50100
151	2023-02-20	46433
152	2023-02-27	60297
153	2023-03-06	53444
154	2023-03-13	50450
155	2023-03-20	59874
156	2023-03-27	69963
157	2023-04-03	82658
158	2023-04-10	144138
159	2023-04-17	90983
160	2023-04-24	90283
161	2023-05-01	122822
162	2023-05-08	114330
163	2023-05-15	144037
164	2023-05-22	153511
165	2023-05-29	181738
166	2023-06-05	166097
167	2023-06-12	151265
168	2023-06-19	187280
169	2023-06-26	132329
170	2023-07-03	176778
171	2023-07-10	168185
172	2023-07-17	189540
173	2023-07-24	180076
174	2023-07-31	178589
175	2023-08-07	183802
176	2023-08-14	168104
177	2023-08-21	168860
178	2023-08-28	173092
179	2023-09-04	159485
180	2023-09-11	145200
181	2023-09-18	154881
182	2023-09-25	154542
183	2023-10-02	155145
184	2023-10-09	105675
185	2023-10-16	120830
186	2023-10-23	110044
187	2023-10-30	91908
188	2023-11-06	103733
189	2023-11-13	105134
190	2023-11-20	44461
191	2023-11-27	59118
192	2023-12-04	69981
193	2023-12-11	59768
194	2023-12-18	44289
195	2023-12-25	29234
196	2024-01-01	41144
197	2024-01-08	32122
198	2024-01-15	16323
199	2024-01-22	32780
200	2024-01-29	48202
201	2024-02-05	52522
202	2024-02-12	45620
203	2024-02-19	59110
204	2024-02-26	75382
205	2024-03-04	60504
206	2024-03-11	80537
207	2024-03-18	57605
208	2024-03-25	67873
209	2024-04-01	55246
210	2024-04-08	119459
211	2024-04-15	100221
212	2024-04-22	105416
213	2024-04-29	128759
214	2024-05-06	124648
215	2024-05-13	146078
216	2024-05-20	145322
217	2024-05-27	132557
218	2024-06-03	166472
219	2024-06-10	171138
220	2024-06-17	178358
221	2024-06-24	161802
222	2024-07-01	166693
223	2024-07-08	157021
224	2024-07-15	180622
225	2024-07-22	174237
226	2024-07-29	179262
227	2024-08-05	177950
228	2024-08-12	153051
229	2024-08-19	172450
230	2024-08-26	175391
231	2024-09-02	191769
232	2024-09-09	208829
233	2024-09-16	192916
234	2024-09-23	170123
235	2024-09-30	161695
236	2024-10-07	161278
237	2024-10-14	120768
238	2024-10-21	126335
239	2024-10-28	113322
240	2024-11-04	96656
241	2024-11-11	93482
242	2024-11-18	69794
243	2024-11-25	33352
